1-800-CONTACTS;www.1800contacts.com ;Acuvue, Bausch+Lomb, 20/20;
1-800-flowers;www.1800flowers.com;Celebrate, Gift, Occasions;
Active;www.active.com ;Sports, parks, recreation, Active;
Airtran;www.airtran.com;Flight, hotel, Reservations;
Alexis Bittar;www.alexisbittar.com;Shopping, New, Lucite;
Amazon;www.amazon.com;Prime, Deals, Gifts;https://www.amazon.com/ap/cnep?ie=UTF8&orig_return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcss%2Fhomepage.html%3Fie%3DUTF8%26ref_%3Dya_cnep_T1&pageId=usflex&openid.assoc_handle=usflex&aToken=4%7CE44veJOAsZNlsH9vZDJReoeI3oAwyen%2BeVtYAA9%2Bn%2B7LU7j26kO7nkp6uT%2BDLOOG6YGUg6dkqqj0l5R4Kmicee5WJSgNeVTvuaycTYLC7jnZdohW9o%2FdrqwWqcO7tenEa%2BhU5jiF2v9MNAJKuvHDeOrTqCmO7U6rTkopcG8lYUmRIxFC3xqsZQMkAYd4%2BWMdWw8PTTuSn5iqPugHjO48UQ%3D%3D&openid.claimed_id=https%3A%2F%2Fwww.amazon.com%2Fap%2Fid%2Famzn1.account.AG27IMSIPUNGHG2S52QZMLHM2UAQ&openid.identity=https%3A%2F%2Fwww.amazon.com%2Fap%2Fid%2Famzn1.account.AG27IMSIPUNGHG2S52QZMLHM2UAQ&openid.mode=id_res&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&openid.op_endpoint=https%3A%2F%2Fwww.amazon.com%2Fap%2Fsignin&openid.response_nonce=2011-10-03T22%3A27%3A23Z-2219425161130068428&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fap%2Fcnep%3Fie%3DUTF8%26orig_return_to%3Dhttps%253A%252F%252Fwww.amazon.com%252Fgp%252Fcss%252Fhomepage.html%253Fie%253DUTF8%2526ref_%253Dya_cnep_T1%26pageId%3Dusflex&openid.signed=assoc_handle%2CaToken%2Cclaimed_id%2Cidentity%2Cmode%2Cns%2Cop_endpoint%2Cresponse_nonce%2Creturn_to%2Cpape.auth_policies%2Cpape.auth_time%2Cns.pape%2Csigned&openid.ns.pape=http%3A%2F%2Fspecs.openid.net%2Fextensions%2Fpape%2F1.0&openid.pape.auth_policies=http%3A%2F%2Fschemas.openid.net%2Fpape%2Fpolicies%2F2007%2F06%2Fnone&openid.pape.auth_time=2011-10-03T22%3A27%3A23Z&openid.sig=kQfuK%2FNHQaI%2FmTCEfNwK7cQabI50nhfrgxlkd63EdJ4%3D&
Anthropologie;www.anthropologie.com;House, Clothing, Shoes, Accessories;
Apple;www.apple.com;MacBook, Store, iTunes;
Arizona Integrative Wellness;www.azintegrative.org ;Wellness, Coalition;
Arizona State Museum;www.statemuseum.arizona.edu;University, Visit;
Artesa Winery;www.artesawinery.com;Vineyards, Wines, Trade;
Ashes Wines;www.asheswines.com;Ashe\'s, Wines, Spirits;
Backcountry;www.backcountry.com;Brand, New Arrivals, Ski, Snowboard;
Bank of America;www.bankofamerica.com;Bank, Borrow, Invest, Plan;
Barnes Noble;www.barnesandnoble.com;Books, Textbooks, Nook;
Barney\'s;www.barneys.com;Designers, Shoes, Handbags;
BaubleBar;http://baublebar.com;Fashion, function, fame;
Bed Bath & Beyond;www.bedbathandbeyond.com;Shop, Gift, Bedding, Bath;
BevMo!;www.bevmo.com;Wine, Spirits, Beer;
Blackboard eats;http://blackboardeats.com;Specials, Deals, My Blackboard;
Bloomingdales;www.bloomingdales.com;Designers, Women, Contemporary;
Bloomspot;www.bloomspot.com;Live life better;http://www.bloomspot.com/subscriber/my-account/
Buy.com;www.buy.com;Products, Deals, BUYTV;
Byron J Richards (Wellness Resources);www.wellnessresources.com;Supplements, Health, Nutritional;
CarePages;www.carepages,com;Create, Visit, Connect, Care, Story;
CB2 ;www.cb2.com;Furniture, Home, Accessories, Store;
Charles Schwab;www.schwab.com;Invest, Account, Bank, Investment;
Clary Sage Organics;www.clarysageorganics.com;Apparel, Store, Story;
Columbia House;www.columbiahouse.com;DVD, Movies, TV, Sale, Member;
Crate and Barrel;www.crateandbarrel.com;Registry, Furniture, Kitchen, Food, Decorating;
